Price,Close,High,Low,Open,Volume,MA_10,MA_50,Daily_Return,Volatility,Target
2020-03-13,67.1029281616211,67.57366791219874,61.06301183278901,63.94537376560975,370732000,68.21966781616212,73.73339080810547,0.11980832420033649,0.0742679595865438,0
2020-03-16,58.4703483581543,62.542820889319664,57.93684495675963,58.40758108532822,322423600,66.85332450866699,73.45612007141114,-0.1286468420971847,0.07777216016790568,1
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,65.97316551208496,73.24433311462403,0.04397001210426832,0.07994541527553672,0
2020-03-18,59.5470085144043,60.350882714180244,57.2416040580175,57.88132562490314,300233600,64.61961822509765,72.99124496459962,-0.024479852274846392,0.07744699213714204,0
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200,63.45750274658203,72.73582305908204,-0.0076621290949436816,0.07731443572210601,0
2020-03-20,55.33934020996094,60.79264444451166,55.03999854094989,59.67011594836406,401693200,62.0141487121582,72.38225357055664,-0.06348559348742822,0.07880004899150338,0
2020-03-23,54.1637077331543,55.16070547027294,51.32480360482342,55.05931643178171,336752800,61.00508155822754,71.97415153503418,-0.021244063849446326,0.07606444806789432,1
2020-03-24,59.59770584106445,59.793242114858536,56.56084893172045,57.05813962396852,287531200,60.07664489746094,71.67135818481445,0.10032544549353184,0.0800561234642878,0
2020-03-25,59.26939392089844,62.34245973328567,58.97488132854125,60.53193331315153,303602000,59.35460586547852,71.33006393432618,-0.005508801312613554,0.07964583024512553,1
2020-03-26,62.38832092285156,62.446255405203736,59.472166210481355,59.51079165439952,252087200,59.60107955932617,71.07176376342774,0.05262289346362614,0.07484070380078552,0
2020-03-27,59.805301666259766,61.767909526223264,59.638732669554486,61.01473181958192,204216800,58.87131690979004,70.76825736999511,-0.0414022884152615,0.06436846637255741,1
2020-03-30,61.512020111083984,61.683418202528024,60.206026401052306,60.529509863529455,167976400,59.175484085083006,70.4801008605957,0.02853791214612489,0.04953783563186608,0
2020-03-31,61.386497497558594,63.366005560924876,60.833685075362965,61.70273919270683,197002000,59.210004806518555,70.1726235961914,-0.002040619269188526,0.047740742475734635,0
2020-04-01,58.15652084350586,60.04188167908633,57.726822887688364,59.50596558883749,176218400,59.07095603942871,69.81095069885254,-0.05261705400574768,0.050211629326348525,1
2020-04-02,59.126953125,59.18006218576405,57.1884834576866,58.01891202578832,165934000,59.074576187133786,69.46324333190918,0.016686560121185634,0.050455770773208945,0
2020-04-03,58.27721786499024,59.31283722451452,57.68819275537644,58.6127685713981,129880000,59.36836395263672,69.09117233276368,-0.01437136897978386,0.04561958387933055,1
2020-04-06,63.36117172241211,63.51566611882468,60.20120105165565,60.568131689303875,201820400,60.2881103515625,68.82521125793457,0.0872374153000881,0.05097856205815297,0
2020-04-07,62.62731552124024,65.58934152567265,62.52351377225885,65.37207245676143,202887200,60.59107131958008,68.58965698242187,-0.011582112218298635,0.0421623069490436,1
2020-04-08,64.2302474975586,64.54406918127975,63.061855141740836,63.426369510698045,168895200,61.08715667724609,68.34406387329102,0.02559477382955544,0.04238561512310535,1
2020-04-09,64.6937255859375,65.19584902236409,63.89951332637289,64.86512738575412,161834800,61.31769714355469,68.0757096862793,0.00721588513879734,0.039512018343956644,1
2020-04-13,65.96350860595703,66.07214313145124,64.17229133387406,64.77097468626023,131022800,61.93351783752441,67.83501495361328,0.01962760698226873,0.036242095360392176,1
2020-04-14,69.29486083984375,69.58454794114515,67.12222968123038,67.59296937908287,194994800,62.71180191040039,67.73011444091797,0.050502956927095166,0.03808054721780271,0
2020-04-15,68.6623764038086,69.12104145125336,67.74504630891909,68.17232773147242,131154400,63.43938980102539,67.61665802001953,-0.00912743641259306,0.03844797960715444,1
2020-04-16,69.20796966552734,69.57249130619873,68.16027936470277,69.37453866907585,157125200,64.54453468322754,67.46503204345703,0.007946029402042143,0.03124916636909014,0
2020-04-17,68.26891326904297,69.27074378183441,66.83497575491855,68.72516946310567,215250000,65.45873069763184,67.28210159301757,-0.013568616461698046,0.032813067410009215,0
2020-04-20,66.85188293457031,67.99854979022932,66.83257389218826,67.09811926901436,130015200,66.31619720458984,67.05272018432618,-0.020756597206817107,0.03350188397907795,0
2020-04-21,64.78544616699219,66.92911009651182,64.07571939662287,66.69494844279068,180991600,66.45862464904785,66.80330200195313,-0.030910674118193482,0.024566806645905725,1
2020-04-22,66.65151977539062,67.08604320648949,65.7100474299754,66.05041994300701,116862400,66.8610450744629,66.58386627197265,0.028803901474853122,0.025304167865176013,0
2020-04-23,66.39318084716797,68.01541208855834,66.35455541677206,66.59595883146082,124814400,67.07733840942383,66.36863037109374,-0.003875964555545508,0.024542114118643543,1
2020-04-24,68.3099594116211,68.3196176159111,66.8687799957314,66.91706365013007,126161200,67.43896179199218,66.15508544921875,0.02887011196022371,0.025820040846808223,1
2020-04-27,68.35823822021484,68.68895986495261,67.58091858862758,68.02750920842628,117087600,67.67843475341797,65.95375503540039,0.0007067609029429711,0.025379694106757333,0
2020-04-28,67.25019836425781,69.00037411858965,67.15847120269908,68.81932145434843,112004800,67.47396850585938,65.7298779296875,-0.016209309730708665,0.0199421157865845,1
2020-04-29,69.45905303955078,69.92737656274731,68.53206419889801,68.73484231712963,137280800,67.55363616943359,65.57890426635743,0.0328453257985768,0.022692621839991798,1
2020-04-30,70.92435455322266,71.10058178322025,69.60870972779222,69.99736587702316,183064000,67.72527465820312,65.43493103027343,0.021095903982991437,0.02348231944394707,0
2020-05-01,69.78250122070312,72.17963585405194,69.00518177066984,69.10174168301795,240616800,67.87663345336914,65.284150390625,-0.016099594274949225,0.023689872761030167,1
2020-05-04,70.76985931396484,70.89780288941466,69.11866006272429,69.80666159250394,133568000,68.2684310913086,65.1881202697754,0.014149078579728469,0.02242910482745266,1
2020-05-05,71.83202362060547,72.66245223551824,71.08367131021836,71.2285148811078,147751200,68.97308883666992,65.185126953125,0.01500871016188432,0.01838241207562128,1
2020-05-06,72.57315063476562,73.20321036598678,72.14827802802382,72.53210878963873,142333600,69.56525192260742,65.24571975708008,0.010317501537678408,0.017234119515908666,1
2020-05-07,73.32390594482422,73.66911859215423,72.89662434827942,73.19837876119128,115215200,70.25832443237304,65.29926330566406,0.010344808010842366,0.016660018465199107,1
2020-05-08,75.06912994384766,75.1223827731926,73.65551811313698,73.98229650289032,133838400,70.9342414855957,65.48007232666015,0.023801568895370995,0.01609307135319659,1
2020-05-11,76.25035858154297,76.7441494175839,74.36957144120983,74.57774424961227,145946400,71.72345352172852,65.6852781677246,0.015735211512094116,0.015870889346443373,0
2020-05-12,75.37895965576172,77.38319101183461,75.25793117438776,76.93296121988755,162301200,72.53632965087891,65.75018173217774,-0.011428128890034861,0.015005216519565804,0
2020-05-13,74.46885681152344,76.47793494369824,73.39412281961201,75.55811363681241,200622400,73.03731002807618,65.84270126342773,-0.012073698660667542,0.014650195887219658,1
2020-05-14,74.92633056640625,74.98684482021679,72.98745151047878,73.7087840752181,158929200,73.43750762939453,65.87957824707031,0.006143155333250938,0.013799683560168191,0
2020-05-15,74.48334503173828,74.52933644505968,72.66791783323735,72.70180935336562,166348400,73.90759201049805,65.95500701904297,-0.00591228118765752,0.012316971411390936,1
2020-05-18,76.2382583618164,76.611028150083,75.11511790410643,75.80498172029709,135178400,74.45443191528321,66.08431457519531,0.023561150876485693,0.013279230470041243,0
2020-05-19,75.7977294921875,77.0999898949941,75.76626090152799,76.25521336264156,101729600,74.8510025024414,66.31518157958985,-0.005778317594011817,0.013604880547354543,1
2020-05-20,77.2718505859375,77.34204178986873,76.61587086677298,76.65460086911052,111504800,75.3208724975586,66.48297714233398,0.01944809037983042,0.01425703301848267,0
2020-05-21,76.69576263427734,77.67367499164858,76.45854411277335,77.1338852173559,102688800,75.6580581665039,66.68709671020508,-0.00745534042852336,0.014808133194271138,1
2020-05-22,77.18953704833984,77.27183551713587,76.33265345783,76.43431323052285,81803200,75.87009887695312,67.03241577148438,0.006438092498239456,0.013242190101481857,0
2020-05-26,76.6667251586914,78.48456841631166,76.61104938291827,78.30544857938091,125522000,75.91173553466797,67.22369171142579,-0.006773092696760519,0.012714446059733011,1
2020-05-27,77.000732421875,77.14596806852482,75.78560919845494,76.52388732434491,112945200,76.0739128112793,67.5942993927002,0.004356613152475708,0.012013414655241795,1
2020-05-28,77.03462219238281,78.29089831885972,76.4004341829612,76.67637525704153,133560800,76.33048934936524,67.91416603088379,0.0004401227032768684,0.010968199002305624,0
2020-05-29,76.95960235595703,77.73660324937043,76.60377827424547,77.27669643163954,153532400,76.53381652832032,68.26241790771485,-0.0009738457110678445,0.011004642378908884,1
2020-06-01,77.9060287475586,78.02705721931588,76.78288098389504,76.91359380175058,80791200,76.87608489990234,68.63872344970703,0.012297703764425849,0.010921052655353392,1
2020-06-02,78.26671600341797,78.2909231828301,77.19924365819143,77.63978920771235,87642800,77.0789306640625,69.09727096557617,0.004629773352048616,0.00866922368251214,1
2020-06-03,78.69756317138672,78.95898884323296,78.01496072344597,78.58621903033732,104491200,77.36891403198243,69.58794807434082,0.005504858130880752,0.008168290419679772,0
2020-06-04,78.01980590820312,78.81859097042819,77.6470360985682,78.5208656190316,87560400,77.44370956420899,69.9563900756836,-0.0086121759794211,0.00691585820570249,1
2020-06-05,80.24188995361328,80.30240419943048,78.2400813612976,78.26912701737099,137250400,77.79832229614257,70.37583999633789,0.028481025036445562,0.010467368308133522,1
2020-06-08,80.71632385253906,80.75021537775042,79.23009773769596,79.93932296340279,95654400,78.1510009765625,70.74240005493164,0.005912546416841025,0.010458311939626215,1
2020-06-09,83.26518249511719,83.6573136410901,80.36534445233356,80.39681304328083,147712400,78.81084671020508,71.21159767150878,0.03157798225839237,0.012655342697584292,1
2020-06-10,85.40740203857422,85.87457033611071,83.77351707727777,84.21163971297698,166651600,79.651513671875,71.68950531005859,0.025727674872779493,0.013667860389394885,0
2020-06-11,81.30694580078125,84.97653085136815,81.20528599627451,84.55293109627195,201662400,80.07874603271485,72.08791427612304,-0.04801054873371513,0.023018570243901526,1
2020-06-12,82.00889587402344,84.18740853476542,80.90027823694467,83.44187634114364,200146000,80.58367538452148,72.5649617767334,0.008633334659527314,0.02291146997875012,1
2020-06-15,83.02310943603516,83.67424321088224,80.5032957450343,80.66547714891838,138808800,81.09538345336914,73.0428849029541,0.012367116411001078,0.02291339360202578,1
2020-06-16,85.22341918945312,85.49452921505798,83.44188334314991,85.07334504214955,165428800,81.79105377197266,73.58180892944335,0.026502377089516083,0.023731527575008467,0
2020-06-17,85.10481262207031,86.02704912393895,84.98378413219785,85.96653487900272,114406400,82.43177871704101,74.01668174743652,-0.0013917133167251627,0.02393751478027697,1
2020-06-18,85.13871765136719,85.55505601805591,84.53115217198582,85.06125763268233,96820400,83.14366989135742,74.46690979003907,0.00039839144523390324,0.02340133502915404,0
2020-06-19,84.65216827392578,86.30783714893171,83.54596609025744,85.8430918789263,264476000,83.58469772338867,74.87534820556641,-0.005714783953333247,0.02273039314434721,1
2020-06-22,86.86700439453125,87.00981715451016,84.99832384422328,85.04431527047004,135445200,84.19976577758788,75.31881378173829,0.02616396207877969,0.023645046913381793,1
2020-06-23,88.72114562988281,90.13718045697547,87.68998051908838,88.1087417587427,212155600,84.74536209106445,75.7739665222168,0.021344597390862585,0.022695598524324564,0
2020-06-24,87.15502166748047,89.26818142371512,86.78225190963218,88.35078354810454,192623200,84.92012405395508,76.13116973876953,-0.01765220626135433,0.022779398450782504,1
2020-06-25,88.31205749511719,88.35078749388231,86.55230611311778,87.30994555491553,137522400,85.62063522338867,76.52416336059571,0.013275607136570056,0.014484583521040458,0
2020-06-26,85.5986099243164,88.42825657527817,85.45095132716905,88.20798383985682,205256800,85.97960662841797,76.85197616577149,-0.03072567492780709,0.019042356671687733,1
2020-06-29,87.57135772705078,87.665763477541,85.0297599072803,85.50661236513594,130646000,86.43443145751954,77.23802505493164,0.023046493447482552,0.0198189065571786,1
2020-06-30,88.30240631103516,88.58803923582462,87.14053545970367,87.15989677286147,140223200,86.74233016967773,77.66703552246094,0.008348032997991917,0.018469349830096675,0
2020-07-01,88.13536834716797,88.9220535759505,88.08696138066959,88.37984827441205,110737200,87.0453857421875,78.13403396606445,-0.0018916581194720061,0.018485361534178384,0
2020-07-02,88.13536834716797,89.67485466688348,88.02160865174983,89.04066652590694,114041600,87.34505081176758,78.5637109375,0.0,0.018493597633091646,1
2020-07-06,90.49298858642578,90.96015670821257,89.52959930495038,89.56106788910034,118655600,87.92913284301758,79.04570709228516,0.026749990196569762,0.0194953471269738,0
2020-07-07,90.21223449707033,91.64763090247186,90.10089033237493,90.87062990973762,112424400,88.26365585327149,79.48375259399414,-0.0031024954943036365,0.018444869909417856,1
2020-07-08,92.31328582763672,92.34475442259624,91.10057777662374,91.18772214628044,117092000,88.62286987304688,79.96285354614258,0.023290092993258238,0.01865788326895723,1
2020-07-09,92.71027374267578,93.2573176564038,91.66458550637155,93.20406480954586,125642800,89.1783950805664,80.47205505371093,0.004300441821346368,0.01703021660544336,1
2020-07-10,92.87242126464844,92.93051996359854,91.69602787555728,92.30600881208682,90257200,89.63443145751953,80.94032241821289,0.0017489703721802474,0.016897374540862365,0
2020-07-13,92.4439697265625,96.77921054368312,92.2309584307968,94.17467542417103,191649200,90.31896743774413,81.37071472167969,-0.004613334424274584,0.012057201035295988,1
2020-07-14,93.9737777709961,94.16499745387678,90.89481289415856,91.82672629574613,170989200,90.95920944213867,81.85454025268555,0.016548489306101644,0.011294455431143696,1
2020-07-15,94.6200714111328,96.09419752364778,93.42430934647335,95.84487913129125,153198000,91.59097595214844,82.3315444946289,0.00687738277066674,0.011286518699440671,0
2020-07-16,93.4557876586914,94.31024858615012,92.85790656415841,93.49451766571708,110577600,92.12301788330078,82.76401977539062,-0.012304828511304655,0.01260092189615453,0
2020-07-17,93.26697540283205,94.06092201052024,92.79496133182224,93.90600938284572,92186800,92.63617858886718,83.17789627075196,-0.00202033775103283,0.01272251968051754,1
2020-07-20,95.23249053955078,95.37046481228467,93.01040889370655,93.35413310853578,90318000,93.1101287841797,83.61606796264648,0.021074073949856498,0.011772564723573445,0
2020-07-21,93.91807556152344,96.09658762351754,93.66875725435261,96.02155057678584,103433200,93.480712890625,83.993046875,-0.013802169517780905,0.013028221252234354,1
2020-07-22,94.18193817138672,94.86211761268852,93.53322731563136,93.620364272229,89001600,93.667578125,84.35167846679687,0.0028094976210455425,0.011152856178127262,0
2020-07-23,89.89512634277344,93.99314942038049,89.08665688068213,93.91568941051719,197004400,93.38606338500976,84.64200180053712,-0.0455162838209211,0.018648710367768027,0
